path,class
./data/train/5I096DQEE2.jpg,3
./data/train/1NV9ZMEIB5.jpg,0
./data/train/M9VLJNHD38.jpg,7
./data/train/R411LJY55S.jpg,6
./data/train/A5G82IF4MX.jpg,0
./data/train/W5ZUHMV324.jpg,6
./data/train/2D7JOHSRUO.jpg,9
./data/train/N97I0W7SXO.jpg,3
./data/train/MRLIAS5TUQ.jpg,2
./data/train/9L0VXJ498Y.jpg,1
./data/train/ZPWL4WYX0C.jpg,3
./data/train/OA8VPA7928.jpg,0
./data/train/5LQLZ7ZTZO.jpg,5
./data/train/JPZZ9399BJ.jpg,0
./data/train/ZVY3W50RNJ.jpg,2
./data/train/M2X3BTQ1IQ.jpg,1
./data/train/2DRMCJUDG5.jpg,9
./data/train/ZN1WQINMP2.jpg,4
./data/train/WCORZVZMEM.jpg,2
./data/train/0195AC45N6.jpg,4
./data/train/6B6D8BBSNO.jpg,4
./data/train/SBQ1GEDWFD.jpg,4
./data/train/GHELFGE27T.jpg,6
./data/train/K8MRCKGDTU.jpg,3
./data/train/9ZN1QX0VVU.jpg,6
./data/train/G5ZAUUMTFW.jpg,7
./data/train/VUUQY56JTN.jpg,2
./data/train/IZO41J6S0J.jpg,1
./data/train/1EV3P9OD5Y.jpg,7
./data/train/LARFFOVLJI.jpg,2
./data/train/BXFDOCQMAI.jpg,3
./data/train/8OLE1P3CKJ.jpg,3
./data/train/R8E341K2WF.jpg,6
./data/train/FNXANHA18V.jpg,5
./data/train/SOOQQXLGN9.jpg,6
./data/train/AWZ8E7S664.jpg,6
./data/train/PUCTGXBS3G.jpg,2
./data/train/HK9KGHRPDT.jpg,3
./data/train/YHJVLTH834.jpg,6
./data/train/ITIKSDZPXV.jpg,0
./data/train/RDAQ0PCURI.jpg,6
./data/train/EGC8I6HULK.jpg,3
./data/train/CHBCOE8OWY.jpg,1
./data/train/O5ADNZ1DQ8.jpg,7
./data/train/E6J6K77904.jpg,0
./data/train/B4J39CBBKT.jpg,0
./data/train/E8DEEZ9L2K.jpg,6
./data/train/5HH0CZJJU3.jpg,5
./data/train/BHHEHG78LZ.jpg,3
./data/train/58RE2LWUBZ.jpg,9
./data/train/NF730UZ6K9.jpg,9
./data/train/3Z5ORHLISV.jpg,4
./data/train/IKS349JUJV.jpg,1
./data/train/MB3HISWWUN.jpg,5
./data/train/O0CSIHMADM.jpg,1
./data/train/TRL833KX4M.jpg,6
./data/train/KCO077IUR9.jpg,0
./data/train/9MZS8PD72U.jpg,2
./data/train/TFQYR20HYF.jpg,7
./data/train/7JE71YB8H0.jpg,5
./data/train/A1IIUNW571.jpg,8
./data/train/9KW4UOEQTO.jpg,1
./data/train/FMB91J70J1.jpg,9
./data/train/GWEN05XF11.jpg,8
./data/train/RK3OC6QJ5G.jpg,5
./data/train/APJZER1UJC.jpg,6
./data/train/AQC8UI75YG.jpg,9
./data/train/O6LXC8XYML.jpg,0
./data/train/3PH66O3V8N.jpg,1
./data/train/6HBYDBH8GP.jpg,5
./data/train/YRIN0W3V85.jpg,2
./data/train/3ZOPD7UHXH.jpg,8
./data/train/NLICQ5M5G5.jpg,0
./data/train/2LXP3A1LZN.jpg,2
./data/train/3IE48OR3PU.jpg,6
./data/train/L9RBNJ3VXW.jpg,7
./data/train/FIWOW883NK.jpg,5
./data/train/DYMN41E2RU.jpg,0
./data/train/J20JBJ01MQ.jpg,7
./data/train/V1EOXB8HNK.jpg,5
./data/train/ART3Q08JKC.jpg,0
./data/train/T8UDRO7A75.jpg,9
./data/train/5CC9ZJKHTK.jpg,0
./data/train/DN81D82ZVS.jpg,9
./data/train/TQUKSUK827.jpg,0
./data/train/3VZTX2FC8R.jpg,3
./data/train/A2OUIQTNHU.jpg,5
./data/train/LAHQUVAAV6.jpg,0
./data/train/0R8U1HNQY7.jpg,3
./data/train/TNDUCFAW57.jpg,3
./data/train/UB53C3JRJW.jpg,8
./data/train/XQ3TCJRV4Y.jpg,7
./data/train/QTG14LY4OV.jpg,6
./data/train/KSLS89WIPU.jpg,4
./data/train/2ERNLICLAS.jpg,6
./data/train/9ZG2ICTBMZ.jpg,1
./data/train/2LT2OG9QOD.jpg,2
./data/train/10AV5AYSWQ.jpg,4
